,address,geocoded_address,returned_address,tiger_line,tract,longitude,latitude
177,7956 S JEFFERY BLVD,"7956 S JEFFERY BLVD, Chicago, IL, 60617","7956 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576036609478,41.750572775675
178,8133 S JEFFERY BLVD,"8133 S JEFFERY BLVD, Chicago, IL, 60617","8133 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575830799452,41.747355359409
179,8133 S JEFFERY BLVD,"8133 S JEFFERY BLVD, Chicago, IL, 60617","8133 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575830799452,41.747355359409
180,8131 S JEFFERY BLVD,"8131 S JEFFERY BLVD, Chicago, IL, 60617","8131 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575831374045,41.747390122522
181,7956 S JEFFERY BLVD,"7956 S JEFFERY BLVD, Chicago, IL, 60617","7956 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.576036609478,41.750572775675
182,7959 S JEFFERY BLVD,"7959 S JEFFERY BLVD, Chicago, IL, 60617","7959 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575882398261,41.750539550569
183,7959 S JEFFERY BLVD,"7959 S JEFFERY BLVD, Chicago, IL, 60617","7959 S JEFFERY BLVD, CHICAGO, IL, 60617",657161289,460500,-87.575882398261,41.750539550569
184,8131 S JEFFERY BLVD,"8131 S JEFFERY BLVD, Chicago, IL, 60617","8131 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575831374045,41.747390122522
185,8138 S JEFFERY BLVD,"8138 S JEFFERY BLVD, Chicago, IL, 60617","8138 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575982654203,41.747249657047
186,8138 S JEFFERY BLVD,"8138 S JEFFERY BLVD, Chicago, IL, 60617","8138 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575982654203,41.747249657047
187,8134 S JEFFERY BLVD,"8134 S JEFFERY BLVD, Chicago, IL, 60617","8134 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57598380339,41.747319183273
188,8134 S JEFFERY BLVD,"8134 S JEFFERY BLVD, Chicago, IL, 60617","8134 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.57598380339,41.747319183273
189,5627 S OAKLEY AVE,"5627 S OAKLEY AVE, Chicago, IL, 60636","5627 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681157395526,41.791729597991
190,8159 S JEFFERY BLVD,"8159 S JEFFERY BLVD, Chicago, IL, 60617","8159 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575823329738,41.746903438943
191,5521 S OAKLEY AVE,"5521 S OAKLEY AVE, Chicago, IL, 60636","5521 S OAKLEY AVE, CHICAGO, IL, 60636",605450923,835100,-87.681189871781,41.792898316202
192,8155 S JEFFERY BLVD,"8155 S JEFFERY BLVD, Chicago, IL, 60617","8155 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575824478925,41.746972965169
193,8155 S JEFFERY BLVD,"8155 S JEFFERY BLVD, Chicago, IL, 60617","8155 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575824478925,41.746972965169
194,5615 S OAKLEY AVE,"5615 S OAKLEY AVE, Chicago, IL, 60636","5615 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681159348858,41.791901302905
195,8159 S JEFFERY BLVD,"8159 S JEFFERY BLVD, Chicago, IL, 60617","8159 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575823329738,41.746903438943
196,8152 S JEFFERY BLVD,"8152 S JEFFERY BLVD, Chicago, IL, 60617","8152 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575978632049,41.747006315258
197,5631 S OAKLEY AVE,"5631 S OAKLEY AVE, Chicago, IL, 60636","5631 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681157395748,41.79167306569
198,5630 S OAKLEY AVE,"5630 S OAKLEY AVE, Chicago, IL, 60636","5630 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681311091727,41.791694907724
199,5628 S OAKLEY AVE,"5628 S OAKLEY AVE, Chicago, IL, 60636","5628 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681311091725,41.791723816287
